"ts (S)","aqicn (N)","aqius (N)","maincn (S)","mainus (S)","p2 (M)","city (S)"
"2020-03-27T17:00:00.000Z","31","72","p2","p2","{  ""aqicn"" : { ""N"" : ""31"" },  ""aqius"" : { ""N"" : ""72"" },  ""conc"" : { ""N"" : ""22"" }}","Astana"
"2020-03-27T19:00:00.000Z","41","86","p2","p2","{  ""aqicn"" : { ""N"" : ""41"" },  ""aqius"" : { ""N"" : ""86"" },  ""conc"" : { ""N"" : ""28.8"" }}","Astana"
"2020-03-27T22:00:00.000Z","36","78","p2","p2","{  ""aqicn"" : { ""N"" : ""36"" },  ""aqius"" : { ""N"" : ""78"" },  ""conc"" : { ""N"" : ""25.1"" }}","Astana"
"2020-03-28T04:00:00.000Z","39","83","p2","p2","{  ""aqicn"" : { ""N"" : ""39"" },  ""aqius"" : { ""N"" : ""83"" },  ""conc"" : { ""N"" : ""27.4"" }}","Astana"
"2020-03-28T05:00:00.000Z","53","105","p2","p2","{  ""aqicn"" : { ""N"" : ""53"" },  ""aqius"" : { ""N"" : ""105"" },  ""conc"" : { ""N"" : ""37.2"" }}","Astana"
"2020-03-28T07:00:00.000Z","49","97","p2","p2","{  ""aqicn"" : { ""N"" : ""49"" },  ""aqius"" : { ""N"" : ""97"" },  ""conc"" : { ""N"" : ""34.1"" }}","Astana"
"2020-03-28T12:00:00.000Z","14","40","p2","p2","{  ""aqicn"" : { ""N"" : ""14"" },  ""aqius"" : { ""N"" : ""40"" },  ""conc"" : { ""N"" : ""9.6"" }}","Astana"
"2020-03-29T04:00:00.000Z","17","48","p2","p2","{  ""aqicn"" : { ""N"" : ""17"" },  ""aqius"" : { ""N"" : ""48"" },  ""conc"" : { ""N"" : ""11.7"" }}","Astana"
"2020-03-29T06:00:00.000Z","16","45","p2","p2","{  ""aqicn"" : { ""N"" : ""16"" },  ""aqius"" : { ""N"" : ""45"" },  ""conc"" : { ""N"" : ""10.9"" }}","Astana"
"2020-03-29T11:00:00.000Z","8","24","p2","p2","{  ""aqicn"" : { ""N"" : ""8"" },  ""aqius"" : { ""N"" : ""24"" },  ""conc"" : { ""N"" : ""5.8"" }}","Astana"
"2020-03-29T18:00:00.000Z","61","120","p2","p2","{  ""aqicn"" : { ""N"" : ""61"" },  ""aqius"" : { ""N"" : ""120"" },  ""conc"" : { ""N"" : ""43.4"" }}","Astana"
"2020-03-29T20:00:00.000Z","59","116","p2","p2","{  ""aqicn"" : { ""N"" : ""59"" },  ""aqius"" : { ""N"" : ""116"" },  ""conc"" : { ""N"" : ""41.8"" }}","Astana"
"2020-03-30T00:00:00.000Z","37","80","p2","p2","{  ""aqicn"" : { ""N"" : ""37"" },  ""aqius"" : { ""N"" : ""80"" },  ""conc"" : { ""N"" : ""25.9"" }}","Astana"
"2020-03-30T05:00:00.000Z","8","23","p2","p2","{  ""aqicn"" : { ""N"" : ""8"" },  ""aqius"" : { ""N"" : ""23"" },  ""conc"" : { ""N"" : ""5.6"" }}","Astana"
"2020-03-30T09:00:00.000Z","12","34","p2","p2","{  ""aqicn"" : { ""N"" : ""12"" },  ""aqius"" : { ""N"" : ""34"" },  ""conc"" : { ""N"" : ""8.1"" }}","Astana"
"2020-03-30T14:00:00.000Z","17","49","p2","p2","{  ""aqicn"" : { ""N"" : ""17"" },  ""aqius"" : { ""N"" : ""49"" },  ""conc"" : { ""N"" : ""11.8"" }}","Astana"
"2020-03-30T15:00:00.000Z","37","80","p2","p2","{  ""aqicn"" : { ""N"" : ""37"" },  ""aqius"" : { ""N"" : ""80"" },  ""conc"" : { ""N"" : ""26.1"" }}","Astana"
"2020-03-30T20:00:00.000Z","79","152","p2","p2","{  ""aqicn"" : { ""N"" : ""79"" },  ""aqius"" : { ""N"" : ""152"" },  ""conc"" : { ""N"" : ""57.9"" }}","Astana"
"2020-03-30T21:00:00.000Z","52","105","p2","p2","{  ""aqicn"" : { ""N"" : ""52"" },  ""aqius"" : { ""N"" : ""105"" },  ""conc"" : { ""N"" : ""37"" }}","Astana"
"2020-03-31T01:00:00.000Z","64","127","p2","p2","{  ""aqicn"" : { ""N"" : ""64"" },  ""aqius"" : { ""N"" : ""127"" },  ""conc"" : { ""N"" : ""46.1"" }}","Astana"
"2020-03-31T04:00:00.000Z","24","61","p2","p2","{  ""aqicn"" : { ""N"" : ""24"" },  ""aqius"" : { ""N"" : ""61"" },  ""conc"" : { ""N"" : ""17"" }}","Astana"
"2020-03-31T09:00:00.000Z","7","20","p2","p2","{  ""aqicn"" : { ""N"" : ""7"" },  ""aqius"" : { ""N"" : ""20"" },  ""conc"" : { ""N"" : ""5"" }}","Astana"
"2020-03-31T10:00:00.000Z","5","14","p2","p2","{  ""aqicn"" : { ""N"" : ""5"" },  ""aqius"" : { ""N"" : ""14"" },  ""conc"" : { ""N"" : ""3.3"" }}","Astana"
"2020-03-31T15:00:00.000Z","23","59","p2","p2","{  ""aqicn"" : { ""N"" : ""23"" },  ""aqius"" : { ""N"" : ""59"" },  ""conc"" : { ""N"" : ""15.8"" }}","Astana"
"2020-03-31T18:00:00.000Z","30","70","p2","p2","{  ""aqicn"" : { ""N"" : ""30"" },  ""aqius"" : { ""N"" : ""70"" },  ""conc"" : { ""N"" : ""21.2"" }}","Astana"
