"id (S)","city (S)","date (S)","lat (S)","lng (S)","name (S)","pm10 (S)","pm10ss (S)","pm25 (S)","pm25ss (S)","status (S)","temp (S)","tempss (S)","ts (S)","error (S)","humid (S)","press (S)","hour (S)"
"43.2300000076.932600002020-03-29T11:48:44.909124","Алматы","2020-03-29 17:45:01","43.23000000","76.93260000","Dual1","25","29","22","26","active","0","0","2020-03-29T11:48:44.909124",,,,
"43.2310000076.754000002020-03-26T07:48:46.155263","Алматы","2019-01-16 14:36:32","43.23100000","76.75400000","ЖК ""Асыл Арман""","-1","0","-1","11","closed","-1","-5","2020-03-26T07:48:46.155263",,,,
"43.2310000076.754000002020-04-03T04:48:44.967231","Алматы","2019-01-16 14:36:32","43.23100000","76.75400000","ЖК ""Асыл Арман""","-1","0","-1","11","closed","-1","-5","2020-04-03T04:48:44.967231",,,,
"43.2310000076.754000002020-04-05T19:48:45.138131","Алматы","2019-01-16 14:36:32","43.23100000","76.75400000","ЖК ""Асыл Арман""","-1","0","-1","11","closed","-1","-5","2020-04-05T19:48:45.138131",,,,
"43.231076.75402020-04-10T23:48:45.261173","Алматы","2019-01-16 14:36:32","43.2310","76.7540","ЖК ""Асыл Арман""","-1","0","-1","11","closed","0","-5","2020-04-10T23:48:45.261173","0","0","0",
"43.2400000076.874000002020-03-23T23:48:44.808273","Алматы","2019-12-23 09:30:01","43.24000000","76.87400000","Абая - Тлендиева","-1","25","-1","21","active","-1","0","2020-03-23T23:48:44.808273",,,,
"43.2400000076.874000002020-03-29T10:48:45.094347","Алматы","2019-12-23 09:30:01","43.24000000","76.87400000","Абая - Тлендиева","-1","25","-1","21","active","-1","0","2020-03-29T10:48:45.094347",,,,
"43.2400000076.874000002020-04-04T01:48:44.847756","Алматы","2019-12-23 09:30:01","43.24000000","76.87400000","Абая - Тлендиева","-1","25","-1","21","active","-1","0","2020-04-04T01:48:44.847756",,,,
"43.2410000076.960000002020-03-27T01:48:45.283299","Алматы","2020-03-27 07:45:01","43.24100000","76.96000000","Сатпаева-Луганского (TS485314)","61","60","45","45","active","0","0","2020-03-27T01:48:45.283299",,,,
"43.2480000076.949000002020-04-06T22:48:45.356551","Алматы","2019-03-23 20:30:01","43.24800000","76.94900000","Тулебаева-Джамбула","-1","4384","-1","4384","defective","-1","0","2020-04-06T22:48:45.356551",,,,
"43.2530000076.910000002020-03-26T16:48:45.259516","Алматы","2020-03-26 22:45:01","43.25300000","76.91000000","ТолеБи - Байзакова","86","41","70","35","active","0","0","2020-03-26T16:48:45.259516",,,,
"43.2530000076.910000002020-03-28T09:48:45.521119","Алматы","2020-03-28 15:45:01","43.25300000","76.91000000","ТолеБи - Байзакова","43","48","35","39","active","0","0","2020-03-28T09:48:45.521119",,,,
"43.2530000076.910000002020-04-04T08:48:45.164016","Алматы","2020-04-04 14:45:01","43.25300000","76.91000000","ТолеБи - Байзакова","28","37","25","30","active","0","0","2020-04-04T08:48:45.164016",,,,
"43.253076.91002020-04-09T03:48:45.269495","Алматы","2020-04-09 09:45:01","43.2530","76.9100","ТолеБи - Байзакова","3","33","3","28","active","0","0","2020-04-09T03:48:45.269495","0","0","0",
"43.254076.85502020-04-12T12:48:45.262105","Алматы","2020-04-12 18:45:01","43.2540","76.8550","Курчатова 1 (AUA)","58","109","46","94","active","0","0","2020-04-12T12:48:45.262105","0","0","0",
"43.2690000076.944000002020-03-25T00:48:45.280686","Алматы","2018-09-27 00:05:03","43.26900000","76.94400000","Фурманова-Ташкентская","-1","44","-1","36","active","-1","0","2020-03-25T00:48:45.280686",,,,
"43.2690000076.944000002020-03-27T06:48:45.039833","Алматы","2018-09-27 00:05:03","43.26900000","76.94400000","Фурманова-Ташкентская","-1","44","-1","36","active","-1","0","2020-03-27T06:48:45.039833",,,,
"43.2960000076.844000002020-03-25T11:48:45.760552","Алматы","2020-03-25 17:45:01","43.29600000","76.84400000","Кок Кайнар","97","57","77","45","active","0","0","2020-03-25T11:48:45.760552",,,,
"43.2960000076.844000002020-04-05T15:48:45.305656","Алматы","2020-04-05 21:45:01","43.29600000","76.84400000","Кок Кайнар","175","133","148","110","active","0","0","2020-04-05T15:48:45.305656",,,,
"43.296076.84402020-04-07T21:48:45.101381","Алматы","2020-04-08 03:45:02","43.2960","76.8440","Кок Кайнар","27","70","24","57","active","0","0","2020-04-07T21:48:45.101381",,,,
"43.296076.84402020-04-10T11:48:44.787420","Алматы","2020-04-10 17:45:01","43.2960","76.8440","Кок Кайнар","51","77","41","62","active","0","0","2020-04-10T11:48:44.787420","0","0","0",
"43.296076.84402020-04-10T15:48:45.036415","Алматы","2020-04-10 21:45:01","43.2960","76.8440","Кок Кайнар","103","80","81","65","active","0","0","2020-04-10T15:48:45.036415","0","0","0",
"43.296076.84402020-04-13T09:50:12.503071","Алматы","2020-04-13 15:50:01","43.2960","76.8440","Кок Кайнар","28","91","156.35","76","active","0","0","2020-04-13T09:50:12.503071","0","0","0","0"
"43.2990000076.792000002020-03-24T21:48:46.219297","Алматы","2018-08-20 14:39:19","43.29900000","76.79200000","Энергостроитель","-1","5","-1","4","closed","-1","0","2020-03-24T21:48:46.219297",,,,
"43.2990000076.792000002020-03-26T05:48:44.915525","Алматы","2018-08-20 14:39:19","43.29900000","76.79200000","Энергостроитель","-1","5","-1","4","closed","-1","0","2020-03-26T05:48:44.915525",,,,
"43.2990000076.792000002020-03-30T11:48:44.825306","Алматы","2018-08-20 14:39:19","43.29900000","76.79200000","Энергостроитель","-1","5","-1","4","closed","-1","0","2020-03-30T11:48:44.825306",,,,
"43.310076.94302020-04-10T10:48:45.006196","Алматы","2020-04-10 16:45:01","43.3100","76.9430","Акан Серы (AUA)","42","28","36","26","active","0","0","2020-04-10T10:48:45.006196","0","0","0",
"43.3120000077.001000002020-03-29T18:48:45.460208","Алматы","2020-03-28 16:30:01","43.31200000","77.00100000","Жана Кайрат","-1","31","-1","28","active","-1","0","2020-03-29T18:48:45.460208",,,,
"43.3120000077.001000002020-03-30T01:48:44.802930","Алматы","2020-03-28 16:30:01","43.31200000","77.00100000","Жана Кайрат","-1","31","-1","28","active","-1","0","2020-03-30T01:48:44.802930",,,,
"43.3120000077.001000002020-03-30T05:48:45.149329","Алматы","2020-03-30 11:45:01","43.31200000","77.00100000","Жана Кайрат","43","39","35","33","active","0","0","2020-03-30T05:48:45.149329",,,,
"43.3120000077.001000002020-04-01T03:48:45.150230","Алматы","2020-04-01 09:45:01","43.31200000","77.00100000","Жана Кайрат","53","52","40","37","active","0","0","2020-04-01T03:48:45.150230",,,,
"43.3130000076.939000002020-03-24T20:48:45.075774","Алматы","2020-03-23 16:30:01","43.31300000","76.93900000","Сейфуллина - Дулатова (TS225957)","-1","13","-1","12","active","-1","0","2020-03-24T20:48:45.075774",,,,
"43.313076.93902020-04-09T10:48:45.195634","Алматы","2020-04-08 23:05:01","43.3130","76.9390","Сейфуллина - Дулатова (TS225957)","-1","13","-1","12","closed","0","0","2020-04-09T10:48:45.195634","0","0","0",
"43.3370000076.904000002020-03-25T21:48:45.188785","Алматы","2020-03-26 03:45:01","43.33700000","76.90400000","мкрн Карасу","52","43","44","37","active","0","0","2020-03-25T21:48:45.188785",,,,
"43.3370000076.904000002020-04-04T07:48:44.987483","Алматы","2020-04-04 13:45:01","43.33700000","76.90400000","мкрн Карасу","32","69","28","59","active","0","0","2020-04-04T07:48:44.987483",,,,
"43.337076.90402020-04-11T20:48:44.743692","Алматы","2020-04-12 02:45:01","43.3370","76.9040","мкрн Карасу","187","99","167","85","active","0","0","2020-04-11T20:48:44.743692","0","0","0",
"43.3560000077.467000002020-03-25T10:48:45.543206","Алматы","2020-03-17 23:30:01","43.35600000","77.46700000","Есик Центр","-1","33","-1","28","active","-1","0","2020-03-25T10:48:45.543206",,,,
"43.3560000077.467000002020-03-29T06:48:45.186584","Алматы","2020-03-29 12:45:01","43.35600000","77.46700000","Есик Центр","17","49","16","43","active","0","0","2020-03-29T06:48:45.186584",,,,
"43.356077.46702020-04-09T00:48:45.062610","Алматы","2020-04-08 16:30:01","43.3560","77.4670","Есик Центр","-1","17","-1","15","active","0","0","2020-04-09T00:48:45.062610","0","0","0",
"43.356077.46702020-04-09T14:48:45.005753","Алматы","2020-04-08 16:30:01","43.3560","77.4670","Есик Центр","-1","17","-1","15","active","0","0","2020-04-09T14:48:45.005753","0","0","0",
"43.3690000076.987000002020-04-02T10:48:45.267772","Алматы","2019-01-16 14:38:18","43.36900000","76.98700000","Военный городок","-1","0","-1","172","active","-1","-6","2020-04-02T10:48:45.267772",,,,
"50.0660000072.992000002020-03-24T17:48:45.336073","Темиртау","2020-03-24 23:45:01","50.06600000","72.99200000","Темиртау (70 квартал)","4","8","3","7","active","0","0","2020-03-24T17:48:45.336073",,,,
"50.1020000072.900000002020-03-25T12:48:44.990319","Темиртау","2020-03-06 14:50:01","50.10200000","72.90000000","Темиртау (Правый берег)","-1","32","-1","25","active","-1","0","2020-03-25T12:48:44.990319",,,,
"51.0915000071.428100002020-03-28T21:48:45.247797","Астана","2020-01-28 15:05:01","51.09150000","71.42810000","Бокейхана 38","-1","75","-1","64","active","-1","0","2020-03-28T21:48:45.247797",,,,
"51.0917000071.449800002020-04-04T05:48:45.280026","Астана","2020-04-04 11:45:01","51.09170000","71.44980000","ул. Улы-Дала","15","33","14","29","active","0","0","2020-04-04T05:48:45.280026",,,,
"51.091771.44982020-04-11T07:48:44.776766","Астана","2020-04-11 13:45:01","51.0917","71.4498","ул. Улы-Дала","13","35","12","29","active","23","10","2020-04-11T07:48:44.776766","0","0","985",
"51.1250000071.472000002020-03-24T19:48:45.645975","Астана","2019-05-07 09:30:02","51.12500000","71.47200000","Мечеть","-1","44","-1","34","active","-1","0","2020-03-24T19:48:45.645975",,,,
"51.1250000071.472000002020-03-28T14:48:44.980225","Астана","2019-05-07 09:30:02","51.12500000","71.47200000","Мечеть","-1","44","-1","34","active","-1","0","2020-03-28T14:48:44.980225",,,,
"51.1250000071.472000002020-03-29T14:48:45.284150","Астана","2019-05-07 09:30:02","51.12500000","71.47200000","Мечеть","-1","44","-1","34","active","-1","0","2020-03-29T14:48:45.284150",,,,
"51.1250000071.472000002020-03-30T03:48:45.036104","Астана","2019-05-07 09:30:02","51.12500000","71.47200000","Мечеть","-1","44","-1","34","active","-1","0","2020-03-30T03:48:45.036104",,,,
"51.1250000071.472000002020-04-04T01:48:44.847756","Астана","2019-05-07 09:30:02","51.12500000","71.47200000","Мечеть","-1","44","-1","34","active","-1","0","2020-04-04T01:48:44.847756",,,,
"51.1320000071.413000002020-04-02T06:48:45.366861","Астана","2019-02-16 16:30:01","51.13200000","71.41300000","""Круглая площадь""","-1","9","-1","8","active","-1","0","2020-04-02T06:48:45.366861",,,,
"51.137171.51562020-04-11T08:48:44.869609","Астана","2020-04-11 14:45:01","51.1371","71.5156","Юго-восток","33","151","29","118","active","25","11","2020-04-11T08:48:44.869609","0","0","983",
"51.1514000071.434200002020-03-29T11:48:44.909124","Астана","2020-03-29 17:45:01","51.15140000","71.43420000","Ташенова, 8","6","16","5","15","active","0","0","2020-03-29T11:48:44.909124",,,,
"51.151471.43422020-04-08T11:48:45.179726","Астана","2020-04-08 17:45:01","51.1514","71.4342","Ташенова, 8","2","5","2","5","active","0","0","2020-04-08T11:48:45.179726",,,,
"51.151471.43422020-04-10T21:48:44.857123","Астана","2020-04-11 03:45:01","51.1514","71.4342","Ташенова, 8","52","37","44","30","active","7","12","2020-04-10T21:48:44.857123","0","0","984",
"51.1520000071.486000002020-03-26T10:48:45.495942","Астана","2019-01-16 23:39:27","51.15200000","71.48600000","Мирас","-1","0","-1","51","active","-1","0","2020-03-26T10:48:45.495942",,,,
"51.1520000071.486000002020-03-29T00:48:45.630144","Астана","2019-01-16 23:39:27","51.15200000","71.48600000","Мирас","-1","0","-1","51","active","-1","0","2020-03-29T00:48:45.630144",,,,
"51.1520000071.486000002020-03-31T01:48:45.041870","Астана","2019-01-16 23:39:27","51.15200000","71.48600000","Мирас","-1","0","-1","51","active","-1","0","2020-03-31T01:48:45.041870",,,,
"51.1620000071.423000002020-03-27T04:48:45.073712","Астана","2019-01-16 23:39:05","51.16200000","71.42300000","Дворец школьников","-1","0","-1","99","active","-1","0","2020-03-27T04:48:45.073712",,,,
"51.1620000071.423000002020-03-30T17:48:45.401951","Астана","2019-01-16 23:39:05","51.16200000","71.42300000","Дворец школьников","-1","0","-1","99","active","-1","0","2020-03-30T17:48:45.401951",,,,
"51.1790000071.376000002020-03-30T13:48:45.391242","Астана","2019-02-20 04:30:01","51.17900000","71.37600000","Тлендиева - Акан Сери","-1","17","-1","12","active","-1","0","2020-03-30T13:48:45.391242",,,,
"51.1790000071.376000002020-04-04T08:48:45.164016","Астана","2019-02-20 04:30:01","51.17900000","71.37600000","Тлендиева - Акан Сери","-1","17","-1","12","active","-1","0","2020-04-04T08:48:45.164016",,,,
